curveID,CO2_setpoint,Tblock_setpoint,HHMMSS,Obs,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,n
2,400,10,48597.73333,83,2487.566667,0,8.866,1.112,350.6666667,3.72,0.470466667,14.56733333,6,1.42,1,2.84,11.89,14.56733333,10.07,400.9133333,370.148,0.616866667,11.65193333,4.522666667,85.45333333,199.74,1599,1.466666667,102.5,16.3,0.316,1,-0.22,2.74,1,0,0.16,111115,165
2,600,10,48875.33333,98,2764.9,0,9.843333333,1.147333333,542,3.7,0.458266667,14.41066667,6,1.42,1,2.84,11.81133333,14.41066667,10.05,600.3846667,564.54,0.614466667,11.60533333,4.53,85.53133333,199.7466667,1600,2,102.5,18.3,0.345,1,-0.22,2.74,1,0,0.16,111115,165
2,900,10,49238.26667,113,3128.033333,0,10.21333333,0.948333333,832,3.578,0.5084,14.52266667,6,1.42,1,2.84,11.84,14.52266667,10.054,900.2626667,860.3453333,0.611,11.23393333,4.494666667,82.632,199.7,1599,2,102.5,20,0.388,1,-0.22,2.74,1,0,0.16,111115,165
2,1200,10,49629.8,128,3519.266667,0,9.737333333,0.936733333,1130,3.55,0.509266667,14.45666667,6,1.42,1,2.84,11.834,14.45666667,10.04,1200.408667,1158.796,0.610933333,11.1556,4.496,82.098,199.7,1599,2,102.5,21.5,0.494,1,-0.22,2.74,1,0,0.16,111115,165
2,1500,10,49940.4,143,3830.333333,0,9.612666667,0.888866667,1420,3.500666667,0.523266667,14.456,6,1.42,1,2.84,11.832,14.456,10.04,1500.378667,1456.177333,0.608533333,11.01926667,4.48,81.10066667,199.7466667,1599,2,102.5,21,0.506,1,-0.22,2.74,1,0,0.16,111115,165
2,1800,10,50325.93333,158,4216.5,0,9.461333333,0.830533333,1720,3.45,0.542133333,14.46733333,6,1.42,1,2.84,11.83,14.46733333,10.04,1799.926,1753.342667,0.605866667,10.84726667,4.46,79.85466667,199.7066667,1599,2,102.5,19.9,0.535,1,-0.22,2.74,1,0,0.16,111115,165
3,400,20,51230.26667,8,686.1666667,0,9.425333333,0.530066667,327,4.72,1.06,21.39533333,6,1.42,1,2.84,20.43,21.39533333,19.97,399.032,365.524,0.6028,14.58913333,2.560666667,62.026,199.7,1599.466667,1,102.5,19.8,0.778,1,-0.22,2.74,1,0,0.16,111115,165
3,300,20,51532.13333,23,988.8333333,0,7.579333333,0.5346,242,4.765333333,1.06,21.48133333,6,1.42,1,2.84,20.46,21.48133333,19.97,298.8826667,272.2126667,0.6006,14.70753333,2.548666667,62.426,199.7,1599,0.6,102.5,18.4,0.778,1,-0.22,2.74,1,0,0.16,111115,165
3,200,20,51830.2,38,1287,0,4.984,0.5738,162,4.887333333,1.03,21.48266667,6,1.42,1,2.84,20.47666667,21.48266667,19.97,198.9293333,181.3013333,0.5996,15.05806667,2.542,63.84533333,199.72,1599,0.866666667,102.5,16.8,0.787,1,-0.22,2.74,1,0,0.16,111115,165
3,100,20,52142.6,53,1599.033333,0,1.598666667,0.616333333,86.96666667,5.007333333,0.992266667,21.47933333,6,1.42,1,2.84,20.48,21.47933333,19.97,99.48666667,93.27733333,0.596333333,15.40353333,2.529333333,65.29066667,199.7,1599,0.533333333,102.5,15,0.763,1,-0.22,2.74,1,0,0.16,111115,165
