"uniqueid","level","HHMMSS","variable","parameter","unit","Obs","FTime","EBal?","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n"
"10",15,47695.6666666667,NA,NA,NA,53,4417.33333333333,0,8.67533333333333,0.159,273,2.28333333333333,1.51,19.3926666666667,6,1.42,1,2.84,16.19,19.3926666666667,15.0953333333333,400.714,372.094666666667,0.627533333333333,7.44033333333333,3.43066666666667,40.6793333333333,199.7,1599,0,101,17.6,0.635,1,-0.22,2.74,1,0,0.16,111115,15
"10",20,48340.2,NA,NA,NA,68,5062.3,0,9.15066666666667,0.1704,270.666666666667,2.88,1.78,22.3486666666667,6,1.42,1,2.84,20.4413333333333,22.3486666666667,19.97,400.802666666667,370.108666666667,0.635466666666667,9.21826666666667,2.66133333333333,38.6106666666667,199.733333333333,1599,0,101,17.9,0.678,1,-0.22,2.74,1,0,0.16,111115,15
"10",25,49054.9333333333,NA,NA,NA,83,5776.53333333333,0,9.44333333333333,0.173,264.066666666667,3.494,2.12,25.2966666666667,6,1.42,1,2.84,24.842,25.2966666666667,25.032,399.310666666667,367.082,0.645733333333333,11.0306,2.07,35.38,199.7,1600,0,101,18.2,0.709,1,-0.22,2.74,1,0,0.16,111115,15
"10",30,50046.8666666667,NA,NA,NA,98,6768.9,0,9.45066666666667,0.157,254,3.74,2.472,28.3733333333333,6,1.42,1,2.84,29.29,28.3733333333333,30.1193333333333,399.61,367.086666666667,2.81786666666667,13.8953333333333,6.96333333333333,34.34,199.653333333333,1599,0,101.1,18.6,0.747,1,-0.22,2.74,1,0,0.16,111115,15
"10",35,50696.4,NA,NA,NA,113,7417.76666666667,0,9.46533333333333,0.152533333333333,249.066666666667,4.00466666666667,2.71,31.1206666666667,6,1.42,1,2.84,33.51,31.1206666666667,34.99,399.52,366.652,6.3102,18.1289333333333,12.27,35.2513333333333,199.6,1599,0,101.1,18.7,0.773,1,-0.22,2.74,1,0,0.16,111115,15
"10",40,51611.5333333333,NA,NA,NA,128,8332.73333333333,0,9.342,0.171,258.4,5.05,3.05,34.0726666666667,6,1.42,1,2.84,38.13,34.0726666666667,40.0593333333333,399.532,365.901333333333,8.07413333333333,22.898,12.18,34.5386666666667,199.606666666667,1599.33333333333,0,101.1,19.1,0.766,1,-0.22,2.74,1,0,0.16,111115,15
"10",45,52447,NA,NA,NA,143,9168.66666666667,0,8.81133333333333,0.209066666666667,278.8,6.274,3.11066666666667,36.2653333333333,6,1.42,1,2.84,42.5473333333333,36.2653333333333,45.13,400.043333333333,366.654,10.8042,29.1086666666667,12.8893333333333,34.718,199.673333333333,1599.26666666667,0,101.2,19.7,0.701,1,-0.22,2.74,1,0,0.16,111115,15
"10",50,53181.5333333333,NA,NA,NA,158,9902.86666666667,0,6.906,0.2604,307,7.74733333333333,3.114,38.5193333333333,6,1.42,1,2.84,46.83,38.5193333333333,49.81,399.384666666667,370.028666666667,14.4984,36.909,13.85,35.2686666666667,199.726666666667,1600,0,101.2,20.1,0.568,1,-0.22,2.74,1,0,0.16,111115,15
"2",0,50022.2666666667,NA,NA,NA,8,2940,0,2.21933333333333,0.140133333333333,360.2,1.16,0.867466666666667,10.264,6,1.42,1,2.84,4.028,10.264,0.854,399.905333333333,391.869333333333,0.371533333333333,3.84366666666667,4.574,47.3126666666667,199.713333333333,1600,0,100.7,17.6,0.52,1,-0.22,2.74,1,0,0.16,111115,15
"2",5,50713.1333333333,NA,NA,NA,23,3630.8,0,2.8,0.1562,354.533333333333,1.46,0.985333333333333,12.5953333333333,6,1.42,1,2.84,7.35266666666667,12.5953333333333,4.94133333333333,400.499333333333,390.367333333333,0.374,4.74953333333333,3.65866666666667,46.438,199.726666666667,1600,0,100.7,17.7,0.563,0.9,-0.22,2.74,1,0,0.16,111115,15
"2",10,51264.0666666667,NA,NA,NA,38,4182.06666666667,0,3.256,0.159333333333333,347,1.83666666666667,1.21,15.7873333333333,6,1.42,1,2.84,11.7,15.7873333333333,10.05,400.276,388.354,0.375266666666667,5.85693333333333,2.74,42.7506666666667,199.713333333333,1600,0,100.7,17.9,0.6,1,-0.22,2.74,1,0,0.16,111115,15
"2",15,52179.7333333333,NA,NA,NA,53,5097.6,0,3.184,0.0554266666666667,285.933333333333,0.9972,1.82133333333333,19.5193333333333,6,1.42,1,2.84,16.21,19.5193333333333,15.09,400.056,389.32,1.537,4.51913333333333,8.37,24.6146666666667,199.7,1599,0,100.7,18.3,0.606,1,-0.22,2.74,1,0,0.16,111115,15
"2",20,52853.7333333333,NA,NA,NA,68,5771.06666666667,0,3.32866666666667,0.0484,266.733333333333,0.938,1.95,22.6466666666667,6,1.42,1,2.84,20.42,22.6466666666667,19.97,399.835333333333,388.738,5.24413333333333,8.03973333333333,21.9286666666667,33.62,199.7,1600,0,100.7,18.5,0.683,1,-0.22,2.74,1,0,0.16,111115,15
"2",25,53330.5333333333,NA,NA,NA,83,6248.3,0,3.758,0.0604933333333333,273.666666666667,1.35,2.25,25.558,6,1.42,1,2.84,24.7613333333333,25.558,25.04,399.744666666667,386.882666666667,6.24126666666667,10.2668666666667,20.05,32.9866666666667,199.7,1600,0,100.7,18.7,0.736,1,-0.22,2.74,1,0,0.16,111115,15
"2",30,53803.5333333333,NA,NA,NA,98,6721.56666666667,0,3.96266666666667,0.06114,266.933333333333,1.542,2.524,28.6306666666667,6,1.42,1,2.84,29.1833333333333,28.6306666666667,30.12,399.559333333333,385.866,9.44346666666667,14.0090666666667,23.404,34.72,199.66,1599,0,100.7,18.8,0.792,1,-0.22,2.74,1,0,0.16,111115,15
"2",35,54387.4,NA,NA,NA,113,7305.2,0,3.906,0.05642,258.533333333333,1.71,3.01,32.034,6,1.42,1,2.84,33.606,32.034,34.99,400.692,386.968,12.5942666666667,17.6362,24.278,33.996,199.653333333333,1599,0,100.8,19.4,0.835,1,-0.22,2.74,1,0,0.16,111115,15
"2",40,54966.2666666667,NA,NA,NA,128,7884.83333333333,0,3.472,0.04722,248.866666666667,1.81066666666667,3.79,34.8006666666667,6,1.42,1,2.84,37.99,34.8006666666667,40.06,400.535333333333,387.985333333333,12.4826,17.8374,18.908,27.0166666666667,199.62,1599.33333333333,0,100.8,19.8,0.817,1,-0.22,2.74,1,0,0.16,111115,15
"2",45,55446.5333333333,NA,NA,NA,143,8364.53333333333,0,2.626,0.0348333333333333,243.333333333333,1.70666666666667,4.786,37.6693333333333,6,1.42,1,2.84,42.49,37.6693333333333,45.1146666666667,399.972666666667,390.084666666667,12.3674,17.4016,14.7306666666667,20.73,199.686666666667,1599,0,100.8,20.1,0.802,1,-0.22,2.74,1,0,0.16,111115,15
