Time,Sous_vide,Value,Name,Type
12:50,30.2,30.16,K_3_blue,K_3
13:05,35,34.92,K_3_blue,K_3
13:18,40.1,40.07,K_3_blue,K_3
13:31,45.1,45.07,K_3_blue,K_3
11:46,5.6,5.7,K_4_yellow,K_4
11:57,10.4,10.48,K_4_yellow,K_4
12:09,15.4,15.45,K_4_yellow,K_4
12:24,20.3,20.47,K_4_yellow,K_4
12:37,25.3,25.43,K_4_yellow,K_4
12:50,30.2,30.3,K_4_yellow,K_4
13:05,35,35.08,K_4_yellow,K_4
13:18,40.1,40.23,K_4_yellow,K_4
13:31,45.1,45.26,K_4_yellow,K_4
